rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,err_wrong_element_length,err_bad_element_structure,err_failed_time,err_bad_uppercase_character,err_bad_lowercase_character,err_bad_character
1722883526468668201,,1,,1722883526,403066396,"""parsed encoder diag""",0,0,0,0,0,0
1722883526503243833,,2,,1722883526,503026485,"""parsed encoder diag""",0,0,0,0,0,0
1722883526603380079,,3,,1722883526,603162288,"""parsed encoder diag""",0,0,0,0,0,0
1722883526703384099,,4,,1722883526,703050613,"""parsed encoder diag""",0,0,0,0,0,0
1722883526803246157,,5,,1722883526,803004980,"""parsed encoder diag""",0,0,0,0,0,0
1722883526903448199,,6,,1722883526,903093099,"""parsed encoder diag""",0,0,0,0,0,0
1722883527003202869,,7,,1722883527,2985477,"""parsed encoder diag""",0,0,0,0,0,0
1722883527103257770,,8,,1722883527,102997064,"""parsed encoder diag""",0,0,0,0,0,0
1722883527203632924,,9,,1722883527,203335762,"""parsed encoder diag""",0,0,0,0,0,0
1722883527302979762,,10,,1722883527,302853822,"""parsed encoder diag""",0,0,0,0,0,0
1722883527403136796,,11,,1722883527,402893543,"""parsed encoder diag""",0,0,0,0,0,0
1722883527503073972,,12,,1722883527,502882480,"""parsed encoder diag""",0,0,0,0,0,0
1722883527604164274,,13,,1722883527,603650808,"""parsed encoder diag""",0,0,0,0,0,0
1722883527703400121,,14,,1722883527,703040361,"""parsed encoder diag""",0,0,0,0,0,0
1722883527803303844,,15,,1722883527,803001403,"""parsed encoder diag""",0,0,0,0,0,0
1722883527903484157,,16,,1722883527,903135538,"""parsed encoder diag""",0,0,0,0,0,0
1722883528004046270,,17,,1722883528,3494501,"""parsed encoder diag""",0,0,0,0,0,0
1722883528103563979,,18,,1722883528,103193998,"""parsed encoder diag""",0,0,0,0,0,0
1722883528187825209,,19,,1722883528,187187910,"""parsed encoder diag""",0,0,0,0,0,0
1722883528197526198,,20,,1722883528,197086095,"""parsed encoder diag""",0,0,0,0,0,0
1722883528207524821,,21,,1722883528,207050561,"""parsed encoder diag""",0,0,0,0,0,0
1722883528217403498,,22,,1722883528,217054367,"""parsed encoder diag""",0,0,0,0,0,0
1722883528227222444,,23,,1722883528,226799011,"""parsed encoder diag""",0,0,0,0,0,0
1722883528236922949,,24,,1722883528,236616849,"""parsed encoder diag""",0,0,0,0,0,0
1722883528246855973,,25,,1722883528,246615409,"""parsed encoder diag""",0,0,0,0,0,0
1722883528256885875,,26,,1722883528,256599664,"""parsed encoder diag""",0,0,0,0,0,0
1722883528267026118,,27,,1722883528,266719818,"""parsed encoder diag""",0,0,0,0,0,0
1722883528276905645,,28,,1722883528,276553153,"""parsed encoder diag""",0,0,0,0,0,0
1722883528287038952,,29,,1722883528,286674022,"""parsed encoder diag""",0,0,0,0,0,0
1722883528297080355,,30,,1722883528,296687841,"""parsed encoder diag""",0,0,0,0,0,0
1722883528307119258,,31,,1722883528,306710481,"""parsed encoder diag""",0,0,0,0,0,0
1722883528316909889,,32,,1722883528,316611766,"""parsed encoder diag""",0,0,0,0,0,0
1722883528326935721,,33,,1722883528,326643705,"""parsed encoder diag""",0,0,0,0,0,0
1722883528336899178,,34,,1722883528,336624383,"""parsed encoder diag""",0,0,0,0,0,0
1722883528347090763,,35,,1722883528,346722126,"""parsed encoder diag""",0,0,0,0,0,0
1722883528357058275,,36,,1722883528,356751203,"""parsed encoder diag""",0,0,0,0,0,0
1722883528367329749,,37,,1722883528,366930961,"""parsed encoder diag""",0,0,0,0,0,0
1722883528378324271,,38,,1722883528,377824783,"""parsed encoder diag""",0,0,0,0,0,0
1722883528387408579,,39,,1722883528,386962175,"""parsed encoder diag""",0,0,0,0,0,0
1722883528397390469,,40,,1722883528,396917819,"""parsed encoder diag""",0,0,0,0,0,0
1722883528407320290,,41,,1722883528,406908273,"""parsed encoder diag""",0,0,0,0,0,0
1722883528418281078,,42,,1722883528,417847633,"""parsed encoder diag""",0,0,0,0,0,0
1722883528427466394,,43,,1722883528,427054405,"""parsed encoder diag""",0,0,0,0,0,0
1722883528437393605,,44,,1722883528,436932563,"""parsed encoder diag""",0,0,0,0,0,0
1722883528448215954,,45,,1722883528,447574377,"""parsed encoder diag""",0,0,0,0,0,0
1722883528458193673,,46,,1722883528,457586765,"""parsed encoder diag""",0,0,0,0,0,0
1722883528467972589,,47,,1722883528,467469215,"""parsed encoder diag""",0,0,0,0,0,0
1722883528477594399,,48,,1722883528,477098941,"""parsed encoder diag""",0,0,0,0,0,0
1722883528487829294,,49,,1722883528,487224578,"""parsed encoder diag""",0,0,0,0,0,0
1722883528497484529,,50,,1722883528,497124195,"""parsed encoder diag""",0,0,0,0,0,0
1722883528507235253,,51,,1722883528,506922245,"""parsed encoder diag""",0,0,0,0,0,0
1722883528517192378,,52,,1722883528,516786336,"""parsed encoder diag""",0,0,0,0,0,0
1722883528527093114,,53,,1722883528,526794195,"""parsed encoder diag""",0,0,0,0,0,0
1722883528537114078,,54,,1722883528,536747932,"""parsed encoder diag""",0,0,0,0,0,0
1722883528547105851,,55,,1722883528,546756505,"""parsed encoder diag""",0,0,0,0,0,0
1722883528557088342,,56,,1722883528,556688785,"""parsed encoder diag""",0,0,0,0,0,0
1722883528566853238,,57,,1722883528,566611051,"""parsed encoder diag""",0,0,0,0,0,0
1722883528577114282,,58,,1722883528,576716899,"""parsed encoder diag""",0,0,0,0,0,0
1722883528587086959,,59,,1722883528,586740493,"""parsed encoder diag""",0,0,0,0,0,0
1722883528596951732,,60,,1722883528,596637964,"""parsed encoder diag""",0,0,0,0,0,0
1722883528606906792,,61,,1722883528,606626033,"""parsed encoder diag""",0,0,0,0,0,0
1722883528618524307,,62,,1722883528,617794752,"""parsed encoder diag""",0,0,0,0,0,0
1722883528628510609,,63,,1722883528,627724885,"""parsed encoder diag""",0,0,0,0,0,0
1722883528638218438,,64,,1722883528,637542724,"""parsed encoder diag""",0,0,0,0,0,0
1722883528648293741,,65,,1722883528,647559404,"""parsed encoder diag""",0,0,0,0,0,0
1722883528658261917,,66,,1722883528,657584905,"""parsed encoder diag""",0,0,0,0,0,0
1722883528667475247,,67,,1722883528,667061328,"""parsed encoder diag""",0,0,0,0,0,0
1722883528676990774,,68,,1722883528,676656246,"""parsed encoder diag""",0,0,0,0,0,0
1722883528686793342,,69,,1722883528,686517000,"""parsed encoder diag""",0,0,0,0,0,0
1722883528696930129,,70,,1722883528,696666955,"""parsed encoder diag""",0,0,0,0,0,0
1722883528706920845,,71,,1722883528,706531524,"""parsed encoder diag""",0,0,0,0,0,0
1722883528716670549,,72,,1722883528,716400384,"""parsed encoder diag""",0,0,0,0,0,0
1722883528726525520,,73,,1722883528,726385831,"""parsed encoder diag""",0,0,0,0,0,0
1722883528736798667,,74,,1722883528,736521244,"""parsed encoder diag""",0,0,0,0,0,0
1722883528746804295,,75,,1722883528,746509790,"""parsed encoder diag""",0,0,0,0,0,0
1722883528756918518,,76,,1722883528,756649255,"""parsed encoder diag""",0,0,0,0,0,0
1722883528766985297,,77,,1722883528,766635179,"""parsed encoder diag""",0,0,0,0,0,0
1722883528777091304,,78,,1722883528,776728868,"""parsed encoder diag""",0,0,0,0,0,0
1722883528788417824,,79,,1722883528,787694454,"""parsed encoder diag""",0,0,0,0,0,0
1722883528798310437,,80,,1722883528,797587633,"""parsed encoder diag""",0,0,0,0,0,0
1722883528808317698,,81,,1722883528,807612180,"""parsed encoder diag""",0,0,0,0,0,0
1722883528818277630,,82,,1722883528,817591667,"""parsed encoder diag""",0,0,0,0,0,0
1722883528827536048,,83,,1722883528,827117919,"""parsed encoder diag""",0,0,0,0,0,0
1722883528836976625,,84,,1722883528,836684942,"""parsed encoder diag""",0,0,0,0,0,0
1722883528846725344,,85,,1722883528,846481323,"""parsed encoder diag""",0,0,0,0,0,0
1722883528856582180,,86,,1722883528,856352329,"""parsed encoder diag""",0,0,0,0,0,0
1722883528866391528,,87,,1722883528,866266012,"""parsed encoder diag""",0,0,0,0,0,0
1722883528876796783,,88,,1722883528,876579999,"""parsed encoder diag""",0,0,0,0,0,0
1722883528886505957,,89,,1722883528,886320352,"""parsed encoder diag""",0,0,0,0,0,0
1722883528890304554,,90,,1722883528,890141487,"""parsed encoder diag""",0,0,0,0,0,0
1722883528900309120,,91,,1722883528,900085687,"""parsed encoder diag""",0,0,0,0,0,0
1722883528910378793,,92,,1722883528,910185575,"""parsed encoder diag""",0,0,0,0,0,0
1722883528920434461,,93,,1722883528,920198917,"""parsed encoder diag""",0,0,0,0,0,0
1722883528930374855,,94,,1722883528,930195093,"""parsed encoder diag""",0,0,0,0,0,0
1722883528940711830,,95,,1722883528,940365076,"""parsed encoder diag""",0,0,0,0,0,0
1722883528950815112,,96,,1722883528,950459957,"""parsed encoder diag""",0,0,0,0,0,0
